,specialty,university,mark_mean_years,placesCount_years,budgetCount_years,contractCount_years,budget_mark_mean_years,abit_count_years,mark_max_years,mark_min_years,budget_mark_max_years,budget_mark_min_years
22938,Філологія,"Національний університет ""Львівська політехніка""",171.4454253687315,264.72566371681415,74.94513274336283,189.78053097345133,190.691179207815,1036.762831858407,200.0,117.57184955752213,199.55537345132743,140.22026017699116
23385,"Фармація,промисловафармація","Національний університет ""Львівська політехніка""",167.16728620102225,94.75298126064736,22.0,72.75298126064736,184.68243483816013,294.21635434412264,200.0,121.58717206132879,194.2921873935264,179.1169727427598
23664,Туризм,"Національний університет ""Львівська політехніка""",159.93122413793137,108.54838709677419,21.822580645161292,86.7258064516129,183.02418695014663,1082.3548387096773,199.8763387096774,116.30124193548387,190.370564516129,149.19188709677417
24969,Транспортнітехнології,"Національний університет ""Львівська політехніка""",147.16124444444438,145.60493827160494,57.63703703703704,87.9679012345679,154.18188462357782,205.4641975308642,184.12124938271606,109.41826666666667,180.19543209876542,130.55113827160494
25196,Технологіїзахистунавколишньогосередовища,"Національний університет ""Львівська політехніка""",147.14606451612906,20.0,13.0,7.0,156.589,31.0,183.466,121.924,161.398,151.045
25227,Теплоенергетика,"Національний університет ""Львівська політехніка""",149.33546666666658,130.0,25.0,105.0,153.98357142857145,75.0,178.366,119.685,169.829,139.784
25302,Телекомунікаціїтарадіотехніка,"Національний університет ""Львівська політехніка""",153.33523999999986,404.95428571428573,145.0,259.95428571428573,156.75161704956838,265.1752380952381,191.6125904761905,117.33076190476191,184.0839657142857,140.57618095238095
25591,Соціологія,"Національний університет ""Львівська політехніка""",162.930142857143,70.0,20.0,50.0,180.891,287.0,200.0,124.129,180.891,180.891
25878,Соціальнезабезпечення,"Національний університет ""Львівська політехніка""",155.67924786324778,50.0,11.692307692307692,38.30769230769231,180.8973247863248,259.61538461538464,193.41053846153847,107.41461538461539,190.2984615384615,175.4743076923077
25932,Соціальнаробота,"Національний університет ""Львівська політехніка""",158.04759796437654,60.0,12.946564885496183,47.05343511450382,174.5886579728583,197.06106870229007,193.32741984732826,120.02512213740458,185.66116030534351,136.98618320610686
26139,Системнийаналіз,"Національний університет ""Львівська політехніка""",166.26049920127787,76.27795527156549,31.62779552715655,44.650159744408946,183.82696605431315,627.6357827476038,198.99723322683707,115.37131629392972,198.86321565495206,177.77486261980832
26733,"Підприємництво,торгівлятабіржовадіяльність","Національний університет ""Львівська політехніка""",160.5750858995138,20.46191247974068,15.0,6.369529983792544,180.0017560286823,311.1329011345219,196.04775202593197,115.77188654781199,190.85168881685576,176.56694975688816
27070,Публічнеуправліннятаадміністрування,"Національний університет ""Львівська політехніка""",161.71945384615378,68.45192307692308,10.478846153846154,57.973076923076924,183.3209754395604,260.4653846153846,197.5420826923077,124.37539038461537,190.04927115384615,171.41517307692308
27341,Психологія,"Національний університет ""Львівська політехніка""",158.89494479953515,153.98024404416037,27.203951191167924,126.77629285299244,184.79805770085264,996.8233585124927,197.2450145264381,116.7703108657757,194.97836432306798,158.4963434049971
28544,Прикладнафізикатананоматеріали,"Національний університет ""Львівська політехніка""",166.12274820143887,46.115107913669064,15.0,31.115107913669064,164.08035873119687,72.9568345323741,196.83787769784172,126.01329496402876,189.7873381294964,148.9535107913669
28629,Прикладнамеханіка,"Національний університет ""Львівська політехніка""",154.518794117647,148.01960784313727,71.52287581699346,76.49673202614379,153.7902959150327,153.00653594771242,190.98383006535948,113.29517647058823,188.01015032679737,126.06708496732026
28783,Прикладнаматематика,"Національний університет ""Львівська політехніка""",175.5122346193952,105.65172054223149,62.6089676746611,43.042752867570385,182.84731522217166,487.64650677789365,200.0,128.12042022940562,198.21914285714286,175.8436392075078
29325,Право,"Національний університет ""Львівська політехніка""",167.56663994374136,310.0492264416315,54.0196905766526,256.0295358649789,184.05817960739702,1422.034458509142,200.0,123.71360302391,194.73550316455695,130.7136575246132
30740,Облікіоподаткування,"Національний університет ""Львівська політехніка""",165.39312640800995,125.07509386733416,42.61201501877347,82.4630788485607,180.7595515957447,414.53441802252814,200.0,114.67360325406759,195.75872215269086,165.52192115143933
31217,НаукипроЗемлю,"Національний університет ""Львівська політехніка""",150.2209259259259,46.74074074074074,12.696296296296296,34.044444444444444,155.58723425925925,73.72592592592592,185.56883703703704,118.66094074074073,168.43417777777776,141.54864444444445
31305,Мікро,"Національний університет ""Львівська політехніка""",157.2762727272727,95.33596837944664,30.0,65.33596837944664,152.17887108543633,127.07114624505928,197.18687747035574,118.28362055335968,174.15344664031622,136.97657312252966
31440,Міжнародніекономічнівідносини,"Національний університет ""Львівська політехніка""",168.96872683858635,134.8901623686724,23.0,111.89016236867239,188.44878841133396,523.7526265520535,200.0,127.47969149952245,197.3577029608405,138.61391786055395
31975,"Міжнароднівідносини,суспільнікомунікаціїтарегіональністудії","Національний університет ""Львівська політехніка""",168.4809557993729,157.23667711598745,17.834796238244515,139.40188087774294,190.9576589319771,1112.8307210031348,200.0,125.34186457680251,199.4964880877743,162.62000626959247
